observation_date,PCE Goods,PCE Ex Food & Energy
1/1/2010,3247.6,8661.9
2/1/2010,3251.8,8687.9
3/1/2010,3299.1,8770.2
4/1/2010,3303,8793.7
5/1/2010,3282.9,8803.8
6/1/2010,3287.8,8829.1
7/1/2010,3293.7,8853
8/1/2010,3315.9,8888.3
9/1/2010,3335.8,8905.4
10/1/2010,3377.1,8947.5
11/1/2010,3400.9,8975
12/1/2010,3418.5,8974.3
1/1/2011,3450.4,9024.9
2/1/2011,3457.2,9065.6
3/1/2011,3499.5,9112.5
4/1/2011,3521.3,9131.2
5/1/2011,3506.3,9152.5
6/1/2011,3515.8,9178.3
7/1/2011,3516.2,9203.8
8/1/2011,3519.1,9233.4
9/1/2011,3548,9267.3
10/1/2011,3561.3,9280.1
11/1/2011,3562.6,9293.8
12/1/2011,3559.8,9323.5
1/1/2012,3600.4,9416
2/1/2012,3647.2,9480.3
3/1/2012,3638.5,9491
4/1/2012,3638,9493.5
5/1/2012,3620,9491.8
6/1/2012,3591.1,9490.9
7/1/2012,3595,9515.2
8/1/2012,3636.9,9516.2
9/1/2012,3663.5,9567.2
10/1/2012,3665.6,9585.2
11/1/2012,3679.3,9647.3
12/1/2012,3677.3,9678.2
1/1/2013,3733.9,9712.7
2/1/2013,3750.8,9712.5
3/1/2013,3710.2,9708.1
4/1/2013,3686.6,9719.7
5/1/2013,3704.9,9759.7
6/1/2013,3706.5,9780.2
7/1/2013,3728.8,9807.7
8/1/2013,3726.1,9834.8
9/1/2013,3736.1,9867
10/1/2013,3743.7,9921.4
11/1/2013,3765.2,9968.2
12/1/2013,3767,9989.6
1/1/2014,3741.7,9952.1
2/1/2014,3802.8,10022.9
3/1/2014,3824.1,10103.6
4/1/2014,3851,10158.9
5/1/2014,3856,10214.3
6/1/2014,3881.9,10276.7
7/1/2014,3890.5,10328.4
8/1/2014,3910.3,10401
9/1/2014,3893,10425.1
10/1/2014,3908.8,10490.7
11/1/2014,3908,10526.7
12/1/2014,3887.6,10584.2
1/1/2015,3836.6,10595.8
2/1/2015,3852.9,10613.4
3/1/2015,3900.3,10680.3
4/1/2015,3896.8,10741.6
5/1/2015,3935.2,10794.9
6/1/2015,3941.1,10814.7
7/1/2015,3969.7,10874.7
8/1/2015,3969.1,10909.2
9/1/2015,3941.5,10932.7
10/1/2015,3918.9,10953.9
11/1/2015,3942.2,10996.1
12/1/2015,3939.8,11042.5
1/1/2016,3927,11068.2
2/1/2016,3943.7,11156.6
3/1/2016,3929,11153.1
4/1/2016,3961.6,11206.6
5/1/2016,3977.3,11243.5
6/1/2016,4027,11305.7
7/1/2016,4012.3,11336.3
8/1/2016,4012.7,11365.5
9/1/2016,4028.4,11429.7
10/1/2016,4038.2,11469
11/1/2016,4017.9,11496.3
12/1/2016,4075.8,11545.9
1/1/2017,4097.5,11614.8
2/1/2017,4093.3,11626.2
3/1/2017,4102.9,11662.5
4/1/2017,4127.4,11697.5
5/1/2017,4109.7,11717
6/1/2017,4137.7,11768.3
7/1/2017,4138.9,11796.5
8/1/2017,4156.8,11824.3
9/1/2017,4224.1,11912.7
10/1/2017,4228.8,11972.6
11/1/2017,4267.7,12044.2
12/1/2017,4295.5,12091
1/1/2018,4301.3,12118.2
2/1/2018,4297.8,12161.3
3/1/2018,4296.5,12199.9
4/1/2018,4334.1,12270.5
5/1/2018,4383.2,12355.7
6/1/2018,4372.3,12404.8
7/1/2018,4396.7,12470.2
8/1/2018,4404.5,12515.4
9/1/2018,4392.8,12538.7
10/1/2018,4426.1,12596.1
11/1/2018,4449.6,12644.5
12/1/2018,4322.5,12575.6
1/1/2019,4391.9,12650.7
2/1/2019,4353.6,12652
3/1/2019,4447.6,12763.2
4/1/2019,4483.1,12826.3
5/1/2019,4512.7,12896.2
6/1/2019,4525.2,12957.3
7/1/2019,4557.1,13009.1
8/1/2019,4560.8,13053.8
9/1/2019,4552.2,13094.6
10/1/2019,4549.5,13121.4
11/1/2019,4560.2,13163.9
12/1/2019,4565.8,13225.4
1/1/2020,4589.4,13296.7
2/1/2020,4566.5,13323.1
3/1/2020,4495.2,12121
4/1/2020,3753.8,10506.6
